김,0.2156
이,0.1474
박,0.0846
정,0.0486
최,0.0472
조,0.0293
강,0.0256
윤,0.0206
장,0.0206
임,0.0205
신,0.0199
유,0.0194
한,0.0156
오,0.0154
서,0.0152
전,0.0151
권,0.0142
황,0.0141
안,0.0138
송,0.0138
홍,0.0113
양,0.0107
고,0.0095
문,0.0094
손,0.0092
배,0.0081
백,0.0077
허,0.0066
노,0.0064
남,0.0056
심,0.0055
하,0.0047
주,0.0047
구,0.0042
곽,0.0041
성,0.004
차,0.0039
우,0.0039
진,0.0038
민,0.0035
류,0.0033
나,0.0032
지,0.0032
엄,0.0029
변,0.0028
채,0.0027
원,0.0026
방,0.0026
천,0.0025
공,0.0019
현,0.0018
함,0.0016
여,0.0016
염,0.0014
석,0.0012
추,0.0012
도,0.0012
소,0.0011
설,0.0009
선,0.0009
마,0.0008
길,0.0008
연,0.0007
위,0.0006
표,0.0006
명,0.0006
기,0.0006
반,0.0006
라,0.0005
왕,0.0005
금,0.0005
옥,0.0005
육,0.0005
인,0.0005
맹,0.0004
제,0.0004
모,0.0004
남궁,0.0004
탁,0.0004
국,0.0004
어,0.0004
경,0.0003
은,0.0003
편,0.0003
용,0.0003
예,0.0003
봉,0.0003
사,0.0002
부,0.0002
황보,0.0002
가,0.0002
복,0.0002
태,0.0002
목,0.0002
형,0.0001
피,0.0001
두,0.0001
감,0.0001
호,0.0001
제갈,0.0001
음,0.0001
빈,0.0001
동,0.0001
온,0.0001
사공,0.0001
시,0.0001
범,0.0001
선우,0.0001
좌,0.0001
팽,0.0001
승,0.0001
간,0.0001
